producer,name,type,varietal,natural,vegan,sustainable,sweet,body,characteristics,description,price,url,imageUrl
Ryme Cellars,Ribolla Gialla Vare,white,Ribolla,Y,,,dry,medium,,"A beautiful sunny gold colour, this wine is in excellent condition. The age has given it a waxy edge and soften the acidity without losing its aromas of clove, anise-spiced honey and crisp yellow apple. Traditionally seen in Friuli, Italy, the grape variety has started a small following in Napa Valley and is growing in popularity. Pair it with a pumpkin risotto in the winter, or a roasted squash tart in the summer.",£49,https://www.pacificwines.co.uk/wine/ribolla-gialla-vare,https://www.pacificwines.co.uk/assets/images/products/76-2x.jpg
Bow & Arrow,"Rhinestones (Pinot Noir, gamay)",red,"Gamay, Pinot Noir",Y,,,dry,light,,"Rhinestones is Bow and Arrow's flagship wine, showcasing the heart of who they are. Drink in any way you like - this will hold up to a thoughtful sip as much as it subtly supports a busy weekend dinner. If you're drinking with food, you'd do well with a dish containing mushrooms. We recommend opening this about 30 minutes before drinking to let it breathe.		",£30,,
Lo-Fi Wines,Gamay,red,Gamay,Y,,,,,,,£30,https://www.pacificwines.co.uk/wine/gamay,https://www.pacificwines.co.uk/assets/images/products/165-2x.jpg
Ovum Wines,"Big Salt (riesling, gewurz, muscat)",white,"Gewurztraminer, Muscat, Riesling",Y,,,,,,,£22,https://www.pacificwines.co.uk/wine/big-salt-riesling-gewurz-muscat,https://www.pacificwines.co.uk/assets/images/products/163-2x.jpg
Sokol Blosser,Willamette Pinot Gris,white,Pinot Gris,Y,,,dry,medium,,"Hand-harvesting the grapes at different ripeness levels has given this wine a lovely layered finish. Aged in stainless steel to retain and emphasize its delicate floral and fruit aromatics, but as it was left on its lees there is a broader palate to this Pinot Gris than some may have. Drink it all year round, it is perfect for sipping on rainy afternoons (something we have a bit too much of here!) with a cool gazpacho.",£22,https://www.pacificwines.co.uk/wine/willamette-pinot-gris,https://www.pacificwines.co.uk/assets/images/products/34-2x.jpg
Bow & Arrow,Johan Melon Blanc,white,Melon Blanc,Y,,,dry,medium,"citrus friut
minerality
tropical fruit","Made in a similar fashion to Burgundy, this wine is lucky to start its life growing in Melon Blanc's favourite soil type - granite. In fact, this is the only vineyard in Willamette with this soil type. Starting to build up you collection? This wine will keep developing in to bottle for up to 15 years (if you can resist drinking it that is!).",£27,https://www.pacificwines.co.uk/wine/johan-melon-blanc,https://www.pacificwines.co.uk/assets/images/products/147-2x.jpg
Sokol Blosser,Evolution Sparkling,sparkling,White Blend,Y,,,dry,medium,,"Here we have a sparkling wine which allows us to celebrate at any time! Similar to Champagne in its style, but with the addition of some more uncommon grapes. This gives a mix of green and stone fruits, but still leaves a creamy taste in the mouth. Perfect with fish or just on its own to get the evening started.",£23,https://www.pacificwines.co.uk/wine/evolution-sparkling,https://www.pacificwines.co.uk/assets/images/products/45-2x.jpg
Littorai,`The Pivot Vineyard` Sonoma Coast Pinot Noir,red,Pinot Noir,Y,,,dry,medium,,"This single vineyard Pinot Noir is grown organically and biodynamically from Littorai's small, family owned and operated winery. The Pivot produces the smoothest, most velvety wines of all of the Sonoma vineyards. It has a good concentration and smooth tannins which balance out the bright acidity. Complex aromas of red and black fruits, red liquorice, white pepper and cardamom carry through to the long finish. Superb right now but will age exceptionally.",£100,https://www.pacificwines.co.uk/wine/the-pivot-vineyard-sonoma-coast-pinot-noir,https://www.pacificwines.co.uk/assets/images/products/52-2x.jpg
Racines,Sanford & Benedict Pinot Noir,red,Pinot Noir,N,,,dry,medium,,"Planted in 1971, the Sanford & Benedict Vineyard became the first vineyard in what would become the world-class, cool climate wine-growing region of Santa Rita Hills. This Pinot Noir by Racines is a classic representation of the vineyard; balanced to perfection, restrained but silky. Airy and fresh, crushed stones come through after the sweet floral notes.",£110,https://www.pacificwines.co.uk/wine/sanford-and-benedict-pinot-noir,https://www.pacificwines.co.uk/assets/images/products/53-2x.jpg
DeLoach,Heritage Collection Zinfandel,red,Zinfandel,Y,Y,,dry,full bodied,"black fruit
spice
pepper","Rich, dark and spicy. Brambles and all the berries match with star anise and white pepper spice. You have to appreciate the long, lingering finish on this wine, allowing you to enjoy it for that little bit longer.",£14,https://www.pacificwines.co.uk/wine/heritage-collection-zinfandel,https://www.pacificwines.co.uk/assets/images/products/60-2x.jpg
Seghesio,Sonoma County Zinfandel,red,Zinfandel,N,,,dry,full bodied,,"Harvested from lots across Sonoma, this Zinfandel is a ripe, bright and softly layered wine with complex, dusty notes and a classic spiciness. Seghesio recommends enjoying this with sausage and peppers with cheesy polenta, or pasta dishes with tomato-based sauces such as baked rigatoni or pappardelle Bolognese.",£24,https://www.pacificwines.co.uk/wine/sonoma-county-zinfandel,https://www.pacificwines.co.uk/assets/images/products/61-2x.jpg
Racines,Wenzlau Chardonnay,white,Chardonnay,N,,,dry,full bodied,,"This chardonnay is a brilliant expression of the Santa Rita vineyards it comes from. There are lightly tropical notes to it, alongside a citrusy feel. Nuanced honeysuckle and chalky minerality add to this complex and deep wine. It will live well for the next decade, or enhance your evening now, especially if paired with a soft, creamy cheese.",£90,https://www.pacificwines.co.uk/wine/wenzlau-chardonnay,https://www.pacificwines.co.uk/assets/images/products/16-2x.jpg
DeLoach,Russian River Valley Pinot Noir,red,Pinot Noir,Y,Y,,dry,medium,"red fruit
spice earthy
mushroom","This wine is starting to get some of that lovely Pinot Noir earthiness and mushroom notes running through it, and will develop some more over the next few years. The strawberries are joined by a more Californian style of black liquorice, but the bright burgundian acidity is never lost.",£25,https://www.pacificwines.co.uk/wine/russian-river-valley-pinot-noir,https://www.pacificwines.co.uk/assets/images/products/54-2x.jpg
Seghesio,Old Vines Sonoma County Zinfandel,red,Zinfandel,N,,,dry,full bodied,black fruit spice,"The Seghesio family-owned winery started in the year 1895 when Edoardo Seghesio, an Italian immigrant and winemaker, planted the first Zinfandel vineyard in the Alexander Valley located in Sonoma County. In keeping with its Old-Vine routes, this Zinfandel is a full of ripe blackberry and plums, baking spices, smooth tannins and intense structure. Seghesio recommends enjoying this with Beef Braciole, mushroom sugo, and cherry balsamic pork tenderloin.",£45,https://www.pacificwines.co.uk/wine/old-vines-zinfandel,https://www.pacificwines.co.uk/assets/images/products/79-2x.jpg
Fog Monster,Petite Sirah,red,Petite Sirah,Y,,,dry,full bodied,,"It's hard to not notice the label! Inspired by the influence of the Pacific fog on the central coast vineyards of California, it's similar to Japanese woodblock art. The vines are planted at 1800m above sea level, keeping the fruit away from the California's heat. This maintains the grapes freshness and elegance, and allows the complex, fresh fruit flavours to come through. Decanting helps the wine open up and show off it's full potential.",£42,https://www.pacificwines.co.uk/wine/petite-sirah,https://www.pacificwines.co.uk/assets/images/products/104-2x.jpg
DeLoach,Russian River Valley Chardonnay,white,Chardonnay,Y,Y,,dry,medium full,"stone fruit
baked fruit
nutmeg oak","This Chardonnay will take you from summer to autumn with no fuss. Orange and citrus fruits lead into a warm apple and pear with some nutmeg. Well balanced, with fresh acidity and a bit of weight.",£24,https://www.pacificwines.co.uk/wine/russian-river-valley-chardonnay-2019,https://www.pacificwines.co.uk/assets/images/products/14-2x.jpg
Pine Ridge,Clarksburg Chenin Viognier,white,Viognier,N,,,dry,medium,,"This blend of Chenin Blanc and Viognier from Pine Ridge is a beautifully balanced wine. The chenin (around 3/4 of the blend) is picked early for freshness, while the Viognier is left a little longer on the vine and contributes richness and a touch of weight. Creamy and fruity, it's perfect as a classy aperitif.",£18,https://www.pacificwines.co.uk/wine/clarksburg-chenin-viognier,https://www.pacificwines.co.uk/assets/images/products/8-2x.jpg
Merry Edwards,Russian River Valley Sauvignon Blanc,white,Sauvignon Blanc,,,,dry,medium,,"This wine is very Californian in style - confident, bold and ripe, with an energetic line of acid, so typical of Russian River Sauvignon. Oak aged, and on the lees, it's reminiscent of a good Bordeaux blanc with the volume turned up a notch. Enviable complexity. Would be great with a plate of sashimi.",£50,https://www.pacificwines.co.uk/wine/russian-river-valley-sauvignon-blanc,https://www.pacificwines.co.uk/assets/images/products/131-2x.jpg
Roederer Estate,Quartet Brut NV,sparkling,"Chardonnay, Pinot Noir",,,,dry,medium,,"Quartet Brut NV is a Champagne style wine made in California. A classic blend of Pinot Noir and Chardonnay, with 2 years ageing on lees, blended with reserve wines - it doesn't cut any corners, and the result is a fizz with great panache - the bubbles foam, the fruit is pristine and energetic, the nutty, biscuity character there in spades. If you love Champagne you will certainly love this.",£25,https://www.pacificwines.co.uk/wine/quartet-brut-nv,https://www.pacificwines.co.uk/assets/images/products/138-2x.jpg
Roederer Estate,Quartet Rose NV,sparkling,"Chardonnay, Pinot Noir",,,,dry,medium,,"Quartet Rosé is a serious wine, a gorgeous salmon colour which comes from extended maceration of a proportion of the Pinot in the blend. A wine with fine and elegant bubbles, crunchy red berry fruit and complexity from oak aged reserve wines, exactly as they do in Champagne. Try this with a plate of Prosciutto or Jamon.",£28,https://www.pacificwines.co.uk/wine/quartet-rose-nv,https://www.pacificwines.co.uk/assets/images/products/140-2x.jpg
Field Recordings,Wonderwall Pinot Noir,red,Pinot Noir,Y,,,dry,light,,"A characterful and terroir driven expression of Pinot Noir, Wonderwall is restrained and elegant, with oriental subtleties that dance in and out of focus - tea leaves, incense spice for example. Perfumed fruit, minerality and a savoury, leafy finish that goes on and on make this a wine to mull over, maybe with dim sum.",£24,,
Field Recordings,Neverland Cabernet Sauvignon,red,Cabernet Sauvignon,Y,,,dry,medium,,"Neverland Cabernet is a wine to keep the whole dinner table happy. Built as much on acid and structure as extraction and power, it's highly detailed with enough ripe juicy fruit to make it simply delicious, but it goes up a level with its formidable balance, restraint and smoky, meaty complexity. You need good grapes to make a wine like this.",£24,https://www.pacificwines.co.uk/wine/neverland-cabernet-sauvignon,https://www.pacificwines.co.uk/assets/images/products/87-2x.jpg
Matthiasson Family,Cabernet Sauvignon,red,Cabernet Sauvignon,,,,dry,medium full,,"What a wine. Spectacular, hugely confident and truly delicious. Matthiasson Cabernet showcases what happens when you pick Cali cab grapes a little earlier. 13% abv, super fine tannins and mouth watering acidity, but where this really takes off is with the aromatic profile - so many contrasting flavours and layers of texture. Pour a glass and get lost in this generous, brilliant wine.",£65,https://www.pacificwines.co.uk/wine/cabernet-sauvignon-2017,https://www.pacificwines.co.uk/assets/images/products/69-2x.jpg
Keep Wines,Kahn Syrah,red,Syrah,Y,,,dry,full bodied,"savoury
mint
black fruit","From the Kahn vineyard, this is a syrah with a serious streak. Whole cluster fermentation brings savoury character and fine grained tannin. This wine is focussed and fragrant, highly varietal too, with cassis, eucalyptus, ink and violet character, but not overdone at all, it's light on its feet, a lean and aromatic expression.",£44,https://www.pacificwines.co.uk/wine/kahn-syrah,https://www.pacificwines.co.uk/assets/images/products/43-2x.jpg
Big Basin,Gabilan Mountains GSM,red,"Grenache, Mourvèdre, Syrah",,,,dry,full bodied,"floral
black fruit
herbal
spice
chocolate
leather","A GSM blend somewhat reminiscent of great Chateauneuf. Unfined and unfiltered, this is a wine with ginormous power, but it's absolutely under control. Deep, muscular and brooding; concentrated, dry fruit with a umami-esque undertone - like soy sauce and balsamic. It'll cellar magnificently for at least 10 years, but drink now with Venison.",£50,https://www.pacificwines.co.uk/wine/gabilan-mountains-gsm,https://www.pacificwines.co.uk/assets/images/products/40-2x.jpg
Calder Wine Co,Carignan,red,Carignan,,,,dry,light,,"A total charmer of a wine - juicy, ripe and rich with lovely energy and character. It has lots of intensity and is fundamentally fruit driven, but when the fruit is so pristine and primary it's hard not to love. Berries of all sorts dart around the palate - it's a mouthwatering, moreish Carignan. Perfect now, with sausages perhaps.",£30,https://www.pacificwines.co.uk/wine/carignan,https://www.pacificwines.co.uk/assets/images/products/159-2x.jpg
Benevolent Neglect,Counoise,red,Counoise,,,,dry,light,,"This is a classic bistro style wine - light, delicate, easy to drink, but it's consummate too, full of tinned strawberry character and structurally subtle. All too easy to get stuck into the up-front deliciousness, but look beyond the sweet fruit and there's subtle complexity that talks to the winemaking quality; and fruit quality.",£26,https://www.pacificwines.co.uk/wine/counoise,https://www.pacificwines.co.uk/assets/images/products/41-2x.jpg
Keep Wines,Girard Counoise,red,Counoise,Y,,,dry,light,,"This is a unique, fascinating and excellent Counoise from the Girard vineyard. Highly aromatic, violet-laden red fruit with all sorts of intriguing and unusual flavours. At once oriental then orangey and vivacious. One of those wines that brings a smile to your face before the realisation hits that it's just a remarkable bottle.",£30,https://www.pacificwines.co.uk/wine/girard-counoise,https://www.pacificwines.co.uk/assets/images/products/35-2x.jpg
Donkey & Goat,The Bear Red Blend (multi-blend),red,Red Blend,,Y,Y,dry,medium,"black fruit
spice
pepper nutmeg
smoke earthy
forest","A field blend of 7 different varietals, The Bear is a wine lovers wine - a challenging, thought provoking, earthy wine with crunchy fruit. It's wild and rustic, of its place and natural, firm and leafy, like forest floor. A wine to think about, contemplate and discuss, ideally around the campfire with like-minded friends.",£45,https://www.pacificwines.co.uk/wine/the-bear-red-blend-multi-blend,https://www.pacificwines.co.uk/assets/images/products/44-2x.jpg
Ashes & Diamonds,No. 2 Cabernet Franc,red,Cabernet Franc,Y,,,dry,medium full,"black fruit
minerality
herbal chocolate","An incredibly poised and assured expression of Cabernet Franc from the Napa Valley. This is as good as this grape gets, surely. Texturally sublime, with Cab France's traditional firm edges softened slightly by a dash of Merlot, and incredible fine tannins. Acidity, beautiful hedgerow fruit and a savoury finish that seemingly never ends. Supreme.",£75,https://www.pacificwines.co.uk/wine/no-1-cabernet-franc,https://www.pacificwines.co.uk/assets/images/products/59-2x.jpg
Field Recordings,Wonderwall Chardonnay,white,Chardonnay,Y,,,dry,full bodied,,"Unapologetically bold Californian Chardonnay. Rich, extracted fruit, golden, buttery, vanilla laden and seriously silky. Tropical and peachy, but crucially with fresh acidity which gives the wine lift and makes it highly drinkable. This is the guilty pleasure kind of Chardonnay, a wine that may be a little unsubtle, but it's hard not to secretly love every drop of it.",£23,https://www.pacificwines.co.uk/wine/wonderwall-chardonnay,https://www.pacificwines.co.uk/assets/images/products/28-2x.jpg
Ferdinand Wines,Albarino,white,Albarino,Y,Y,,dry,light,"floral
citrus fruit
tropical fruit
minerality nutmeg
nutty
almond
cream savoury","Albarino is a grape which often showcases purity of fruit character, vibrant acidity and body, without compromise. This wine takes that description to extreme - it's raucously fruity and lively, with all sorts of flavours shooting around the palate. But texturally, and crucially, it's lean, a little nutty from lees ageing, mineral and pretty focussed. Would be superb with smoked salmon.",£25,https://www.pacificwines.co.uk/wine/albarino,https://www.pacificwines.co.uk/assets/images/products/166-2x.jpg
Keep Wines,Lost Slough Albarino,white,Albarino,,,,dry,light,,"There is no doubt this wine is unusual - it's not what you may expect from Albarino. 2 years ageing in neutral oak, then another 18 months in bottle, it has super-high acidity, lip-smacking, and it's (intentionally) a little oxidised, giving it a sherry-esque umami savouriness. It finishes with a saline, sea-spray crescendo. If you're up for something a bit different, then this will certainly fascinate.",£35,https://www.pacificwines.co.uk/wine/lost-slough-albarino,https://www.pacificwines.co.uk/assets/images/products/148-2x.jpg
Benevolent Neglect,Riesling,white,Riesling,,,,off dry,medium,,"There's no wonder you find this wine on so many great restaurant wine lists. It ticks so many Riesling boxes. Wonderous counterpoint between a little residual sugar and tangy acidity, highly energetic citrus fruit descends into tropical richness. It has remarkable tension, weight, palate development and balance. Drink with ceviche or tuna tartar.",£37,https://www.pacificwines.co.uk/wine/riesling,https://www.pacificwines.co.uk/assets/images/products/151-2x.jpg
Matthiasson Family,Napa Valley White (multi-blend),white,White Blend,,,,dry,medium full,,"This is the wine that put Matthiasson on the map, a symphonic white with an orchestral array of grapes, each bringing their own qualities to the blend, and all played in such perfect harmony. Sauvignon blanc brings tropical fruit and acid, Ribolla Gialla the minerality and sea-spray character, Semillon the power, viscosity and formidable waxy texture, and Tocai Friulano aromatic complexity. A wine with gravitas. Huge skill required to make a wine like this.",£46,https://www.pacificwines.co.uk/wine/napa-valley-white-multi-blend,https://www.pacificwines.co.uk/assets/images/products/167-2x.jpg
Ashes & Diamonds,"Blanc No.3 (Sauvignon, Semillon)",white,"Sauvignon, Semillon",Y,,,dry,light,"apple
citrus fruit
peach
minerality cream
oak","A half and half blend of Sauvignon Blanc and bush vine Semillon from Napa, this is a serious, powerful wine, one that could happily age for a long time. Brimming with electric energy, smoky, flinty minerality, huge amounts of ripe fruit and high acidity, it's quite an experience to drink. Oak aged for 12 months, it's a majestic, soaring Sauvignon, Semillon blend, a captivating wine to watch develop over the next 10 years.",£50,https://www.pacificwines.co.uk/wine/blanc-no3-sauvignon-semillon,https://www.pacificwines.co.uk/assets/images/products/168-2x.jpg
Line 39,California Pinot Noir,red,Pinot Noir,N,,,dry,light,,"An approachable and superb value wine from Line 39. If you're after an everyday Pinot Noir then you can't go wrong with this wine. Technically very well made with perfectly ripe fruit, and vanilla from oak. It's soft, fruity and highly varietal - you know you're drinking Californian Pinot Noir, for sure. Have this with some aromatic crispy duck and you'll be very happy.",£16,https://www.pacificwines.co.uk/wine/california-pinot-noir,https://www.pacificwines.co.uk/assets/images/products/56-2x.jpg
Kunin,Pape Star,red,Red Blend,,,,dry,medium full,,"As the name suggests, this blend of Grenache, Syrah, Mourvedre and Cinsault is inspired by the wines of Chateauneuf du Pape, and it certainly does that great name justice. A truly elegant wine, a lovely translucent red colour, its brilliance now is defined by the fact that there is no overtly dominant feature - subtle incense spice, floral and aniseed flavours have room to breathe and the wine is lusciously fruity and chock full of minerality.",£32,https://www.pacificwines.co.uk/wine/pape-star,https://www.pacificwines.co.uk/assets/images/products/57-2x.jpg
Piedrasassi,Bien Nacido Syrah,red,Syrah,,,,dry,full bodied,,"From one of the world's great vineyards - Bien Nacido, this is a grand and stately wine. A very orderly structure with precision and focus. It's neither evidently fat, nor lean, nor overly muscular, it feels just right, and the flavours are genuinely remarkable - you get these notes of smoked salt, bacon fat and rhubarb alongside black cherry. It should probably age for a while as it'll flower and open up, but it's still mightily impressive now. Do decant it though.",£50,https://www.pacificwines.co.uk/wine/bien-nacido-syrah,https://www.pacificwines.co.uk/assets/images/products/64-2x.jpg
Backhouse,Chardonnay 2020,white,Chardonnay,N,,,dry,medium,"apple
minerality
tropical fruit oak","Backhouse Chardonnay is one of the best value Chardonnays we've tasted. It's an extremely proper wine, the fruit excellent, perfectly ripe and round, there's no smoke and mirrors with this wine, the oak high quality, restrained and very well integrated. It's not wildly complex or ageworthy - it's simply a very good, well made, nicely balanced, peachy Californian Chardonnay.",£15,https://www.pacificwines.co.uk/wine/chardonnay-2020,https://www.pacificwines.co.uk/assets/images/products/142-2x.jpg
Sandhi,Central Coast Chardonnay,white,Chardonnay,,,,dry,medium full,,"Famed US wine critic Antonio Galloni recently said ‘It is quite conceivable that within a few years the Sandhi Chardonnays could become the reference point for Santa Barbara, and California, for that matter’...It's easy to see why. This wine has an acid profile reminiscent of that found in great White Burgundy, and it has layers of complexity, at once tangy and tart, the next tropical, honeyed and indulgent.",£27,https://www.pacificwines.co.uk/wine/central-coast-chardonnay,https://www.pacificwines.co.uk/assets/images/products/55-2x.jpg
Mayacamas,Mt Veeder Chardonnay,white,Chardonnay,,,,dry,medium,,"From one of the Napa Valley's most famous sub AVA's, Mayacamas Chardonnay is a highly detailed, serious Chardonnay, exceptionally precise and technically noteworthy. It's a wine built for the long haul on acid and structure, quite European in that respect - there isn't much fat on it. It's a truly stunning, shimmeringly brilliant wine, flinty, mineral, tangy and tight. A wine full of energy, sense of place and with jaw-dropping length.",£56,https://www.pacificwines.co.uk/wine/mt-veeder-chardonnay,https://www.pacificwines.co.uk/assets/images/products/145-2x.jpg
Kunin,Pape Star Blonde,white,"Grenache Blanc, Roussanne",,,,dry,full bodied,,"Inspired by the white wines of Chateauneuf du Pape, this is a blend of Grenache Blanc (80%) and Roussanne. Like it's French inspiration, it's a highly textural wine, full bodied and a little viscous. Its flavours are soft, delicate and very pretty, with creamy white peach and tinned pear flavour leading a subtle floral aromatic. It's mineral too, not sweet at all, and finishes fresh and clean. It's a thing of elegance and beauty.",£32,https://www.pacificwines.co.uk/wine/pape-star-blonde,https://www.pacificwines.co.uk/assets/images/products/29-2x.jpg
Poppy,Paso Robles Cabernet,red,Cabernet Sauvignon,N,,,dry,medium full,,"Those in the know will get very excited by Paso Cabernet. It still represents excellent value, and this wine from Poppy certainly punches above its weight. It's rich and extracted, bold and deep, a wine for lovers of big reds, and perfect with a hearty winter casserole, or to relax with on a Sunday evening. It's far from sweet and sappy though, the fruit is fresh and accurate, making this a textbook and highly accomplished wine.",£16,https://www.pacificwines.co.uk/wine/paso-robles-cabernet,https://www.pacificwines.co.uk/assets/images/products/83-2x.jpg
Rodney Strong,Sonoma County Cabernet Sauvignon,red,Cabernet Sauvignon,N,,,dry,medium,,"If you're looking for a classy, archetypal Sonoma Cabernet that represents superb value then look no further than this textbook wine from Rodney Strong. Admirable, pure plummy fruit character sits under a veil of tobacco, cedar, herbs and spice from oak. It's dry yet juicy and rich, has present and firm tannin, everything feels correct and it's beautifully poised. Sunday Lunch will be all the better alongside a bottle of this.",£24,https://www.pacificwines.co.uk/wine/sonoma-county-cabernet-sauvignon,https://www.pacificwines.co.uk/assets/images/products/80-2x.jpg
Rodney Strong,Alexander Valley Cabernet Sauvignon,red,Cabernet Sauvignon,,,,dry,full bodied,,"Many experts consider Alexander Valley to be just as exceptional for Cabernet Sauvignon as Napa, which makes a wine like this very exciting. Lots of power, but effortlessly under control and in focus, this is a confident bottling for sure. You quite often find these notes of grilled meat and dark chocolate from AV Cabernet, and like Napa, the fruit here is immaculate, ripe and concentrated but not one iota jammy or baked.",£30,https://www.pacificwines.co.uk/wine/alexander-valley-cabernet-sauvignon,https://www.pacificwines.co.uk/assets/images/products/82-2x.jpg
Pott,Napa Valley Cabernet Sauvignon,red,Cabernet Sauvignon,,,,dry,full bodied,,"An exceptionally rare wine and those lucky enough to get some are in for a treat. A highly terroir focussed Cabernet, it could only be from Napa and really captures the essence of the whole valley. An incredibly generous, expressive and intense wine, it's effortlessly powerful, with space for rose and incense framed aromatics to shine. It's not enormous texturally - like great Bordeaux it doesn't need to be as the fruit is so sublime.",£95,https://www.pacificwines.co.uk/wine/napa-valley-cabernet-sauvignon,https://www.pacificwines.co.uk/assets/images/products/135-2x.jpg
Silver Oak,Alexander Valley Cabernet Sauvignon,red,Cabernet Sauvignon,,,,dry,full bodied,,"From a true Californian Icon, this wine is a hedonistic, immensely delicious example of why Alexander Valley is so good. Concentrated, juicy bramble fruit, with these wonderful complexities of charred meat and black olive, it's a prodigious wine, so clear and technically brilliant - world class elevage. You can put this in the cellar, but it's so good now, you really don't need to.",£95,https://www.pacificwines.co.uk/wine/alexander-valley-cabernet-sauvignon_2,https://www.pacificwines.co.uk/assets/images/products/65-2x.jpg
Lillian,Santa Barbera Syrah,red,Syrah,,,,dry,full bodied,,"Having trained under Manfred Krankl at Sine Qua Non, Maggie Harrison has some serious winemaking pedigree, and wow how it shines through in her wines. This syrah is ludicrously polished with immense saline, sea-spray minerality. There is so much to admire, from the glycerin texture, to this smoky, bacon fat over bonfire embers character, and the contrasting, floating, light as a feather high notes of lavender and pot-pourri. Intensely graceful, yet intensely powerful. Genius.",£95,https://www.pacificwines.co.uk/wine/santa-barbera-syrah,https://www.pacificwines.co.uk/assets/images/products/66-2x.jpg
Thackery & Co,Orion,red,Syrah,,,,dry,full bodied,,"The top wine from idiosyncratic winemaker Sean Thackery, Orion is a no holds barred, rambunctious syrah with bags and bags of personality. It's turned up to 11 in pretty much every way, but it's not out of kilter, over-extracted or clumsy at all, it's precisely balanced and very, very impressive, with lots of syrah typicity and aromatic personality. It could cellar for decades, but it's a fascinating wine to study now.",£150,https://www.pacificwines.co.uk/wine/orion,https://www.pacificwines.co.uk/assets/images/products/42-2x.jpg
Thackery & Co,Pleiades Red Blend,red,Red Blend,,,,dry,medium,,"Sean Thackery calls this wine as his 'chef's special' referring to the fact that each year he makes this with whatever grapes he can get his hands on and you just gotta trust him. It's a highly unique, arresting wine which takes you by surprise as there is just nothing else like it. It does feel Californian in that it's ripe, and the dried fruit character has a southern Italian rustic nature to it, but in reality it's not worth pigeonholing Pleiades - you just have to try it and see for yourself.",£36,https://www.pacificwines.co.uk/wine/pleiades-red-blend,https://www.pacificwines.co.uk/assets/images/products/13-2x.jpg
Blackbird Vineyards,Arise Napa Valley Red Blend (multi-blend),red,Red Blend,,,,dry,medium full,"herbal
floral
pepper
black fruit
jammy chocolate leather
earthy
tobacco","Arise is a left bank Bordeaux style blend dominated by Merlot and Cabernet Franc, but accented by Cabernet Sauvignon. Fruit from some of the most iconic vineyards in the Napa Valley make this wine feel effortlessly competent. Texturally it's incredibly smooth and luxurious, with a compelling herbaceousness alongside layer upon layer of fragrance and fruit.",£50,https://www.pacificwines.co.uk/wine/arise-napa-valley,https://www.pacificwines.co.uk/assets/images/products/77-2x.jpg
Blackbird Vineyards,Illustration Napa Valley Red Blend (Merlot led),red,Merlot blend,,,,dry,full bodied,"black fruit
spice
licorice chocolate
oak","Illustration is a delicious, distinctive merlot, a swaggering, flamboyant wine with class, seriousness and lots of brio. Designed to be ageworthy and the match of Napa Cabernet, it does have luxurious structure and weight, but also a lightness of touch, an elegance. Flavour wise its phenomenal - all these exquisite umami characteristics like dried shitake, soy, dark roast coffee beans and cocoa alongside typical plummy fruit.",£170,https://www.pacificwines.co.uk/wine/illustration-napa-valley,https://www.pacificwines.co.uk/assets/images/products/84-2x.jpg
Three Sticks,Head High Sonoma Chardonnay,white,Chardonnay,Y,,,dry,medium,,"Head High Chardonnay is a bit of a well kept secret, as Three Sticks simply use some declassified fruit from their top wines (from a number of the greatest Sonoma vineyards), and make a wine to be approachable and ideal when young. And it is indeed so precocious, the chardonnay fruit, there without any oak seasoning, is phenomenal - mineral driven and clean. So much to admire here.",£25,https://www.pacificwines.co.uk/wine/head-high-sonoma-chardonnay,https://www.pacificwines.co.uk/assets/images/products/36-2x.jpg
Soter,North Valley Chardonnay,white,Chardonnay,,,,dry,medium,,"Soter are one of the great names in Oregon and their Chardonnays are built with purpose and drive. This wine feels somewhat European - the fruit teeters on the brink of ripeness, Chablis-style, and it's lean and lithe, driven by acid, with a restrained use of oak - it does have a toasty vanilla character, but it's far from dominant. Pure, citrusy and food friendly - it'd be ideal with lobster.",£32,,
Groth,Hillview Estate Chardonnay,white,Chardonnay,,,,dry,full bodied,,"From Oak Knoll, one of the coolest parts of Napa, Hillview Chardonnay is a classic Californian interpretation. It has richness and silky weight, the fruit is tropical and it's creamy like Italian meringue. What defines wines like this against Chardonnay from elsewhere is how ripe and indulgent they are - the concentrated fruit, the butterscotch, the viscous glide of the wine in the glass, yet when done well, like this exceptional wine from Groth, they have excellently balanced acidity too.",£45,https://www.pacificwines.co.uk/wine/hillview-estate-chardonnay,https://www.pacificwines.co.uk/assets/images/products/38-2x.jpg
Hudson,Chardonnay,white,Chardonnay,,,,dry,full bodied,,"Try not to love this wine and we think you'll struggle somewhat - it has Montrachet-esque poise and weight, with Californian flair and generosity. You could list flavour characteristics all day with this wine, it's absurdly complex, mouth-coatingly viscous and utterly seductive. Then you talk about the length - it's just never-ending, it goes on for minutes. A spectacular wine...truly spectacular.",£65,https://www.pacificwines.co.uk/wine/hudson-chardonnay,https://www.pacificwines.co.uk/assets/images/products/33-2x.jpg
Groth,Napa Valley Sauvignon Blanc,white,Sauvignon Blanc,,,,dry,light,,"Sometimes Napa Sauvignon feels like an afterthought, a way of making use of the land not right for the Cabernet. But not with this wine from Groth. You get the sense tasting this wine that a lot of thought, care and attention has gone into it, the array of fruit character ranging from zesty citrus right through to tropical is quite something, and the acidity in contrast has been judged to perfection, making this a palate-jolting treat.",£33,https://www.pacificwines.co.uk/wine/napa-valley-sauvignon-blanc,https://www.pacificwines.co.uk/assets/images/products/152-2x.jpg
